city_name;postal_code;area_sqm;population;category
Voerde (Niederrhein);46562;53.49;35889;smaller
Mühlhausen/Thüringen;99974;130.71;35797;smaller
Limburg a. d. Lahn;65549;45.16;35783;smaller
Sinsheim;74889;126.99;35707;smaller
Porta Westfalica;32457;105.22;35658;smaller
Winsen (Luhe);21423;109.77;35630;smaller
Ingelheim am Rhein;55218;73.31;35486;smaller
Meppen;49716;188.4;35415;smaller
Leer (Ostfriesland);26789;70.11;35078;smaller
St. Ingbert;66386;49.95;34971;smaller
Bad Vilbel;61118;25.68;34905;smaller
Datteln;45711;66.1;34876;smaller
Crailsheim;74564;109.08;34862;smaller
Lage;32791;76.04;34686;smaller
Steinfurt;48565;111.67;34645;smaller
Mörfelden-Walldorf;64546;44.13;34641;smaller
Balingen;72336;90.32;34604;smaller
Goch;47574;115.43;34593;smaller
Kempen;47906;68.8;34562;smaller
Dietzenbach;63128;21.68;34517;smaller
Wermelskirchen;42929;74.81;34480;smaller
Deggendorf;94469;77.14;34454;smaller
Saarlouis;66740;43.3;34445;smaller
Barsinghausen;30890;102.81;34327;smaller
Seelze;30926;54.08;34271;smaller
Ahrensburg;22926;35.29;34201;smaller
Viernheim;68519;48.41;34189;smaller
Wedel;22880;33.81;34151;smaller
Zweibrücken;66482;70.64;34091;smaller
Korschenbroich;41352;55.26;33786;smaller
Radebeul;01445;26.14;33743;smaller
Geldern;47608;96.97;33733;smaller
Biberach an der Riß;88400;72.15;33708;smaller
Hemer;58675;67.66;33708;smaller
Kornwestheim;70806;14.65;33681;smaller
Merseburg;06217;53.75;33641;smaller
Uelzen;29525;136.84;33629;smaller
Vechta;49377;87.89;33309;smaller
Rheinfelden (Baden);79618;62.84;33045;smaller
Bad Nauheim;61231;32.54;32777;smaller
Lampertheim;68623;72.27;32682;smaller
Jülich;52428;90.39;32635;smaller
Forchheim;91301;44.44;32433;smaller
Achim;28832;68.06;32379;smaller
Delbrück;33129;157.28;32266;smaller
Fürstenwalde/Spree;15517;70.68;32120;smaller
Bramsche;49565;183.39;32103;smaller
Wernigerode;38855;170.2;32027;smaller
Bernburg (Saale);06406;113.53;32000;smaller
Herrenberg;71083;65.7;31918;smaller
Itzehoe;25524;28.54;31855;smaller
Naumburg (Saale);06618;129.9;31815;smaller
Georgsmarienhütte;49124;55.49;31790;smaller
Radolfzell am Bodensee;78315;58.55;31582;smaller
Nienburg (Weser);31582;64.53;31570;smaller
Geesthacht;21502;33.25;31539;smaller
Oer-Erkenschwick;45739;38.66;31395;smaller
Hoyerswerda / Wojerecy;02977;94.99;31326;smaller
Geestland;27607;356.56;31304;smaller
Burgdorf;31303;112.56;31083;smaller
Neuruppin;16816;305.2;31002;smaller
Rheinberg;47495;75.24;30863;smaller
Emmerich am Rhein;46446;80.4;30854;smaller
Kreuztal;57223;71.07;30787;smaller
Werl;59457;76.35;30736;smaller
Altenburg;04600;45.69;30670;smaller
Gevelsberg;58285;26.33;30669;smaller
Lohmar;53797;65.62;30452;smaller
Osterholz-Scharmbeck;27711;147.17;30438;smaller
Einbeck;37574;231.92;30420;smaller
Walsrode;29664;336.46;30370;smaller
Ennepetal;58256;57.77;30306;smaller
Haan;42781;24.19;30298;smaller
Weil am Rhein;79576;19.46;30251;smaller
Taunusstein;65232;67.02;30221;smaller
Andernach;56626;53.34;30126;smaller
Bad Hersfeld;36251;73.87;30101;smaller
Schönebeck (Elbe);39218;86.08;30067;smaller
Gaggenau;76571;65.01;30059;smaller
Friedberg;86316;81.25;30056;smaller
Bretten;75015;71.1;29927;smaller
Schwedt/Oder;16303;252.18;29887;smaller
Neuburg a.d.Donau;86633;81.29;29830;smaller
Friedberg (Hessen);61169;50.18;29674;smaller
Merzig;66663;108.98;29609;smaller
Meschede;59872;218.52;29608;smaller
Rietberg;33397;110.31;29564;smaller
Waltrop;45731;47.09;29429;smaller
Werne;59368;76.14;29355;smaller
Landsberg am Lech;86886;57.91;29344;smaller
Tönisvorst;47918;44.34;29257;smaller
Schwandorf;92421;123.8;29254;smaller
Oelde;59302;102.77;29210;smaller
Vaihingen an der Enz;71665;73.4;29154;smaller
Güstrow;18273;71.09;29026;smaller
Northeim;37154;145.85;28981;smaller
Rendsburg;24768;23.75;28977;smaller
Springe;31832;160.13;28948;smaller
Kelkheim (Taunus);65779;30.73;28913;smaller
Mühlheim am Main;63165;20.67;28902;smaller
Unterschleißheim;85716;14.93;28896;smaller
Riesa;01589;58.91;28850;smaller
Bühl;77815;73.18;28833;smaller
Saalfeld/Saale;07318;145.56;28772;smaller
Rösrath;51503;38.8;28712;smaller
Winnenden;71364;45074;28569;smaller
Schwelm;58332;45066;28501;smaller
Höxter;37671;158.16;28467;smaller
Idar-Oberstein;55743;91.58;28423;smaller
Rödermark;63322;29.99;28361;smaller
Mechernich;53894;136.48;28327;smaller
Geislingen an der Steige;73312;75.83;28290;smaller
Reinbek;21465;31.26;28277;smaller
Wegberg;41844;84.34;28213;smaller
Emmendingen;79312;33.78;28207;smaller
Meißen;01662;30.92;28080;smaller
Grimma;04668;218.23;28054;smaller
Hattersheim am Main;65795;45153;28040;smaller
Baunatal;34225;38.27;27906;smaller
Kevelaer;47623;100.64;27891;smaller
Königsbrunn;86343;45034;27888;smaller
Leichlingen (Rheinland);42799;37.26;27868;smaller
Geilenkirchen;52511;83.16;27836;smaller
Verden (Aller);27283;71.69;27782;smaller
Ludwigsfelde;14974;109.98;27658;smaller
Olching;82140;29.92;27653;smaller
Neukirchen-Vluyn;47506;43.5;27613;smaller
Sundern (Sauerland);59846;193.27;27511;smaller
Lohne (Oldenburg);49393;91.11;27387;smaller
Teltow;14513;45098;27371;smaller
Griesheim;64347;21.55;27357;smaller
Baesweiler;52499;27.84;27351;smaller
Arnstadt;99310;104.99;27330;smaller
Wetter (Ruhr);58300;31.55;27236;smaller
Overath;51491;68.88;27148;smaller
Schloß Holte-Stukenbrock;33758;67.52;27120;smaller
Strausberg;15344;67.94;27119;smaller
Leimen;69181;20.64;27016;smaller
Zeitz;06712;87.18;27003;smaller
Wangen im Allgäu;88239;101.35;26956;smaller
Weinstadt;71384;31.71;26902;smaller
Hamminkeln;46499;164.53;26900;smaller
Rheinbach;53359;69.72;26831;smaller
Werder (Havel);14542;117.03;26767;smaller
Ehingen (Donau);89584;178.33;26766;smaller
Butzbach;35510;106.6;26660;smaller
Hohen Neuendorf;16540;48.56;26658;smaller
Bad Neuenahr-Ahrweiler;53474;63.39;26550;smaller
Wiesloch;69168;30.24;26546;smaller
Zirndorf;90513;28.79;26534;smaller
Hennigsdorf;16761;31.48;26515;smaller
Pfaffenhofen a.d.Ilm;85276;92.63;26453;smaller
Lauf a.d.Pegnitz;91207;59.77;26387;smaller
Heiligenhaus;42579;27.52;26367;smaller
Heppenheim (Bergstraße);64646;52.12;26357;smaller
Remseck am Neckar;71686;22.82;26346;smaller
Aschersleben;06449;156.36;26328;smaller
Neckarsulm;74172;24.94;26292;smaller
Mühlacker;75417;54.32;26137;smaller
Groß-Gerau;64521;54.47;26068;smaller
Selm;59379;60.41;25983;smaller
Nordenham;26954;87.78;25959;smaller
Weiterstadt;64331;34.4;25942;smaller
Achern;77855;65.24;25776;smaller
Bingen am Rhein;55411;37.68;25757;smaller
Bad Honnef;53604;48.14;25738;smaller
Kulmbach;95311;92.77;25724;smaller
Lübbecke;32312;65.04;25674;smaller
Harsewinkel;33428;100.59;25575;smaller
Lindau (Bodensee);88131;33.06;25547;smaller
Schleswig;24837;45009;25510;smaller
Friedrichsdorf;61381;30.13;25450;smaller
Sangerhausen;06526;207.71;25419;smaller
Rinteln;31737;109.02;25380;smaller
Horb am Neckar;72160;119.76;25379;smaller
St. Wendel;66606;113.53;25337;smaller
Helmstedt;38350;66.74;25325;smaller
Brilon;59929;229.16;25303;smaller
Idstein;65510;79.76;25234;smaller
Geretsried;82538;45101;25221;smaller
Verl;33415;71.37;25177;smaller
Lennestadt;57368;135.59;25176;smaller
Weingarten;88250;42705;25168;smaller
Roth;91154;96.33;25165;smaller
Wiehl;51674;53.26;25088;smaller
Öhringen;74613;67.79;25049;smaller
Salzkotten;33154;109.8;25040;smaller
Petershagen;32469;211.94;25027;smaller
Rottweil;78628;71.76;24984;smaller
Obertshausen;63179;13.62;24968;smaller
Stutensee;76297;45.68;24924;smaller
Pfungstadt;64319;42.54;24885;smaller
Köthen (Anhalt);06366;77.46;24876;smaller
Delitzsch;04509;85.92;24862;smaller
Norden;26506;106.33;24855;smaller
Lüdinghausen;59348;140.54;24847;smaller
Bad Oldesloe;23843;52.59;24841;smaller
Ditzingen;71254;30.38;24803;smaller
Espelkamp;32339;84.21;24754;smaller
Plettenberg;58840;96.75;24716;smaller
Schmallenberg;57392;303.1;24704;smaller
Meckenheim;53340;34.84;24693;smaller
Olpe;57462;85.88;24677;smaller
Sprockhövel;45549;47.94;24659;smaller
Markkleeberg;04416;31.48;24643;smaller
Ellwangen (Jagst);73479;127.38;24600;smaller
Meiningen;98617;105.64;24538;smaller
Zittau;02763;66.75;24517;smaller
Rudolstadt;07407;135.18;24450;smaller
Syke;28857;128.11;24365;smaller
Warstein;59581;158.05;24325;smaller
Staßfurt;39418;146.67;24265;smaller
Bad Mergentheim;97980;129.96;24247;smaller
Ronnenberg;30952;37.82;24239;smaller
Attendorn;57439;97.92;24207;smaller
Waldshut-Tiengen;79761;77.96;24207;smaller
Haren (Ems);49733;208.79;24137;smaller
Herzogenaurach;91074;47.62;24068;smaller
Rathenow;14712;113.1;24063;smaller
Übach-Palenberg;52531;45195;23979;smaller
Varel;26316;113.75;23957;smaller
Waldkraiburg;84478;21.56;23957;smaller
Riedstadt;64560;73.73;23931;smaller
Bedburg;50181;80.42;23867;smaller
Sehnde;31319;103.58;23769;smaller
Calw;75365;59.88;23742;smaller
Freudenstadt;72250;87.54;23704;smaller
Limbach-Oberfrohna;09212;50.21;23688;smaller
Jüchen;41363;71.87;23611;smaller
Husum;25813;45163;23478;smaller
Starnberg;82319;61.85;23453;smaller
Westerstede;26655;179.56;23452;smaller
Quedlinburg;06484;120.52;23341;smaller
Mosbach;74821;62.16;23307;smaller
Hann. Münden;34346;121.17;23289;smaller
Korbach;34497;124.11;23287;smaller
Senftenberg/Zły Komorow;01968;127.56;23232;smaller
Döbeln;04720;91.75;23232;smaller
Dillenburg;35683;83.76;23230;smaller
Gelnhausen;63571;45.15;23220;smaller
Kaltenkirchen;24568;45253;23191;smaller
Netphen;57250;137.39;23116;smaller
Sonneberg;96515;84.69;23097;smaller
Leutkirch im Allgäu;88299;174.97;23056;smaller
Bad Soden am Taunus;65812;45058;23036;smaller
Salzwedel;29410;304.57;22999;smaller
Bad Salzungen;36433;152.02;22976;smaller
Warburg;34414;168.84;22953;smaller
Eisenhüttenstadt;15890;63.47;22919;smaller
Gersthofen;86368;34.01;22847;smaller
Karben;61184;43.94;22843;smaller
Büdingen;63654;122.88;22831;smaller
Wertheim;97877;138.59;22777;smaller
Vreden;48691;135.83;22758;smaller
Weilheim i.OB;82362;55.5;22703;smaller
Herdecke;58313;22.39;22689;smaller
Überlingen;88662;58.64;22684;smaller
Neusäß;86356;25.22;22676;smaller
Nagold;72202;63.1;22635;smaller
Senden;89250;25.21;22625;smaller
Bad Kissingen;97688;69.92;22619;smaller
Friesoythe;26169;247.5;22612;smaller
Laupheim;88471;61.79;22595;smaller
Lengerich;49525;90.79;22527;smaller
Kitzingen;97318;46.99;22429;smaller
Eisleben;06295;143.94;22404;smaller
Burg;39288;164.15;22254;smaller
Apolda;99510;46.26;22232;smaller
Stadthagen;31655;60.27;22210;smaller
Rotenburg (Wümme);27356;99.06;22199;smaller
Donaueschingen;78166;104.69;22150;smaller
